UNIDADE;CATEGORIA;"FRENTE DE LOJA";"CARDAPIO DIGITAL";"PEDIR NA MESA";"DESTAQUE VUCA CARDAPIO";CODIGO;PRODUTO;"MARGEM DE LUCRO MINIMA";"MARGEM DE LUCRO ATUAL";VALOR
1;"AVISOS IMPORTANTES";0;1;0;0;793;"PROIBIDA A VENDA DE BEBIDAS ALCOÓLICAS PARA MENORES DE 18 ANOS";0;0;R$0,00
1;"AVISOS IMPORTANTES";0;1;0;0;3179;"AGENDE SUA RESERVA";0;0;R$0,00
1;"ALEM DA CAIXA";1;1;0;0;3627;"BONE LIFEBOX -  LANCAMENTO";0;0;R$49,90
1;"PRATOS ALMOCO 11H - 16H";0;0;0;0;7053;"ANCHO COM ARROZ E LEGUMES";0;250;R$49,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;2174;"COMBO UNIFORMIZADOS";0;250;R$0,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;89951;"BASIC CHICKEN";0;0;R$39,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;0000003;"NATURAL LIFE";0;250;R$39,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;7939;"FRANGO MILANESA EM MOLHO CREMOSO";0;0;R$39,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;7958;"FRANGO AO MOLHO DE QUEIJOS COM FETTUCCINE ALHO E OLEO";0;250;R$39,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;1460;"FETTUCCINE MOLHO ALFREDO COM MILANESA DE FRANGO";0;250;R$40,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;6901;"FETTUCCINE  AO MOLHO POMODORO COM FRANGO A MILANESA";0;250;R$38,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;6527;"PARMEGIANA DE FRANGO";0;250;R$42,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;1952;BRASILIDADE;0;250;R$49,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;5527;"PARMEGIANA BOVINA";0;250;R$54,00
1;"PRATOS ALMOCO 11H - 16H";1;1;0;0;0000002;"ALCATRA BOX";0;250;R$65,00
1;"LASANHA ";1;1;0;0;219878;"LASANHA BOLONHESA";0;250;R$39,00
1;"MENU EXECUTIVO";1;0;0;0;559;"MENU EXECUTIVO ENTRADA";0;250;R$0,00
1;"MENU EXECUTIVO";1;1;0;0;0000042;"MENU EXECUTIVO BURGER";0;250;R$71,00
1;"MENU EXECUTIVO";1;1;0;0;492;"MENU EXECUTIVO PRATOS";0;250;R$76,00
1;"MENU EXECUTIVO";1;0;0;0;493;"SOBREMESA MENU EXECUTIVO";0;250;R$0,00
1;ENTRADAS;0;0;0;0;744;"COXINHA SEM MASSA";0;250;R$36,00
1;ENTRADAS;0;0;0;0;3025;"CROQUETTE 4 UNIDADES";0;250;R$40,00
1;ENTRADAS;1;1;0;0;605;"BUFFALO WINGS";0;250;R$58,00
1;ENTRADAS;0;0;0;0;7891991012867;"CROQUETTE 8 UNIDADES";0;250;R$66,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12312;"FRESH SALAD";0;250;R$51,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;8559;"FRESH FILE SALAD";0;250;R$52,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12311;"FRESH CHICKEN SALAD";0;250;R$46,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12304;"BRAVO BURGER";0;0;R$52,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12306;"BRAVO CHICKEN";0;250;R$39,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12309;"PINK ZERO";0;250;R$19,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12313;"YELLOW ZERO";0;250;R$19,00
1;"BAIXA CALORIA NO LIFE";1;1;0;0;12310;"MIX ZERO";0;250;R$35,00
1;FRITAS;1;1;0;0;1936;"FRITAS PARMESAO COM ERVAS";0;250;R$41,00
1;FRITAS;1;1;0;0;52885;"FRITAS COM  FRANGO";0;250;R$51,00
1;FRITAS;1;1;0;0;6420;"FRITAS  COM CHEDDAR E BACON";0;250;R$57,00
1;FRITAS;1;1;0;0;10420;"FRITAS COM PULLED PORK";0;250;R$60,00
1;FRITAS;1;1;0;0;7420;"FRITAS PICANTES";0;250;R$64,00
1;FRITAS;1;1;0;0;11420;"FRITAS COM  FILE";0;250;R$80,00
1;"OS MAIS VENDIDOS";0;1;0;0;658;"PONTOS DA CARNE";0;0;R$0,00
1;"OS MAIS VENDIDOS";1;1;0;0;630;AGRIDOCE;0;250;R$48,00
1;"OS MAIS VENDIDOS";1;1;0;0;632;TEXANO;0;250;R$50,00
1;"OS MAIS VENDIDOS";0;0;0;0;636;RETRO;0;250;R$51,00
1;"OS MAIS VENDIDOS";1;1;0;0;638;TRADICIONAL;0;250;R$51,00
1;"OS MAIS VENDIDOS";1;1;0;0;635;"PICANHA PREMIUM";0;250;R$54,00
1;GRANDOES;0;0;0;0;5317;"TITAN BURGER";0;250;R$45,00
1;GRANDOES;0;0;0;0;624;CARNIVORO;0;250;R$58,00
1;GRANDOES;1;1;0;0;639;TRADICIONALZAO;0;250;R$61,00
1;GRANDOES;1;1;0;0;634;DUPLO;0;250;R$69,00
1;GRANDOES;1;1;0;0;445;TRIPLO;0;250;R$82,00
1;DIFERENTOES;1;0;0;0;626;"FRANGO BURGER";0;250;R$40,00
1;DIFERENTOES;0;0;0;0;623;"QUEIJO A MILANESA";0;250;R$40,00
1;DIFERENTOES;1;1;0;0;633;SIMPLES;0;250;R$47,00
1;DIFERENTOES;1;1;0;0;1864;"AMERICAN BURGER";0;0;R$49,00
1;DIFERENTOES;1;1;0;0;628;GORGON;0;250;R$51,00
1;DIFERENTOES;1;1;0;0;8699;"PICANTE BURGER";0;250;R$55,00
1;DIFERENTOES;1;1;0;0;233;"CHURRASCO BURGER";0;250;R$58,00
1;SMASH;1;1;0;0;2111;"SMASH KIDS";0;250;R$31,00
1;SMASH;1;1;0;0;1323;"SMASH LIFE";0;250;R$33,00
1;SMASH;1;1;0;0;1324;"SMASH LIFE DUPLO";0;250;R$44,00
1;SALADAS;0;0;0;0;670;"CAESAR COM FRANGO";0;250;R$58,00
1;KIDS;1;1;0;0;651;"MENU KIDS";0;250;R$40,00
1;PRATOS;1;1;0;0;000005;"MIGNON AO MADEIRA COM FRITAS E GORGONZOLA";0;250;R$74,00
1;"SOBREMESA MAIS DOCE";1;0;0;0;68;"BRIGADEIRO  BELGA DE COLHER";0;0;R$15,00
1;"SOBREMESA MAIS DOCE";1;0;0;0;2179;"BRIGADEIRO DE NINHO  DE COLHER";0;0;R$10,00
1;"SOBREMESA MAIS DOCE";1;1;0;0;5247;"ENCANTO DE UVA";0;250;R$42,00
1;"SOBREMESA MAIS DOCE";1;1;0;0;3505;"CHOCO LIFE";0;250;R$46,00
1;"SOBREMESA MAIS DOCE";1;1;0;0;4598;"BROWNIE COM SORVETE";0;250;R$46,00
1;"SOBREMESA MAIS DOCE";1;1;0;0;684;"GELATO DE BROWNIE";0;250;R$46,00
1;"SOBREMESA SUAVE";0;0;0;0;21778;"MINI SUNDAE";0;250;R$5,00
1;"SOBREMESA SUAVE";1;1;0;0;407;"MINI CHEESECAKE";0;250;R$27,00
1;"SOBREMESA SUAVE";1;1;0;0;680;SUAVECITO;0;250;R$39,00
1;"SOBREMESA SUAVE";1;1;0;0;1029;"MENU SOBREMESA";0;250;R$60,00
1;"SHAKES CLASSICOS LIFEBOX";1;1;0;0;1226;"SHAKE NINHO CLASSICO";0;250;R$26,00
1;"SHAKES CLASSICOS LIFEBOX";1;1;0;0;1229;"SHAKE COOKIE CLASSICO";0;250;R$26,00
1;"SHAKES CLASSICOS LIFEBOX";1;1;0;0;1228;"SHAKE OVOMALTINE CLASSICO";0;250;R$29,00
1;"SHAKES CLASSICOS LIFEBOX";1;1;0;0;8936;"SHAKE PACOCA COM DOCE DE LEITE CLASSICO";0;250;R$28,00
1;"SHAKES CLASSICOS LIFEBOX";1;0;0;0;1031;"MENU KIDS- SHAKE NINHO";0;250;R$0,00
1;"SHAKES CLASSICOS LIFEBOX";1;0;0;0;531;"MENU KIDS- SHAKE COOKIE";0;250;R$0,00
1;"SHAKES CLASSICOS LIFEBOX";1;0;0;0;553;"MENU KIDS- SHAKE OVOMALTINE";0;0;R$0,00
1;"SHAKES PREMIUM LIFEBOX";1;1;0;0;2255;"SHAKE  CHOCOLATE BRANCO COM MORANGO PREMIUM";0;250;R$31,00
1;"SHAKES PREMIUM LIFEBOX";1;1;0;0;686;"SHAKE  COM NINHO PREMIUM";0;250;R$31,00
1;"SHAKES PREMIUM LIFEBOX";1;1;0;0;689;"SHAKE COOKIE PREMIUM";0;250;R$31,00
1;"SHAKES PREMIUM LIFEBOX";1;1;0;0;688;"SHAKE OVOMALTINE PREMIUM";0;250;R$31,00
1;"SODAS ITALIANAS";1;1;0;0;4316;"SODA RED CITRUS";0;250;R$16,00
1;"SODAS ITALIANAS";1;1;0;0;1244;"SODA DE MAÇA VERDE";0;250;R$16,00
1;"SODAS ITALIANAS";1;1;0;0;717;"CHA PRETO COM LIMAO SICILIANO";0;250;R$17,00
1;BEBIDAS;1;0;0;0;22418;"COPO DE  REFRIGERANTE";0;0;R$0,00
1;BEBIDAS;1;0;0;0;224223;"COCA COLA COPO";0;250;R$11,00
1;BEBIDAS;1;0;0;0;22423;"COCA COLA ZERO COPO";0;250;R$11,00
1;BEBIDAS;1;0;0;0;22428;"AGUA COM GAS COPO";0;250;R$11,00
1;BEBIDAS;1;0;0;0;224281;"FANTA LARANJA COPO";0;250;R$11,00
1;BEBIDAS;1;0;0;0;224282;"FANTA GUARANA COPO";0;250;R$11,00
1;BEBIDAS;1;0;0;0;224285;"SPRITE COPO";0;250;R$11,00
1;BEBIDAS;1;0;0;0;715;"LIMONADA SUIÇA";0;250;R$16,00
1;BEBIDAS;1;1;0;0;2658;"VINTAGE DRINK";0;250;R$26,00
1;BEBIDAS;1;1;0;0;1243;"PINK LEMONADE";0;250;R$19,00
1;BEBIDAS;1;1;0;0;707;"SUCO DE LARANJA";0;250;R$15,00
1;BEBIDAS;1;0;0;0;708;"SUCO DE LIMAO";0;250;R$15,00
1;BEBIDAS;1;1;0;0;960;"SUCO COMBINADO";0;250;R$20,00
1;BEBIDAS;1;1;0;0;714;"SUCO FRUTAS VERMELHAS";0;250;R$20,00
1;BEBIDAS;1;1;0;0;711;"SUCO DE MORANGO";0;250;R$18,00
1;BEBIDAS;1;1;0;0;709;"SUCO DE AMORA";0;250;R$18,00
1;BEBIDAS;1;1;0;0;713;"SUCO ABACAXI HORTELA";0;250;R$18,00
1;BEBIDAS;1;1;0;0;712;"SUCO DE MARACUJA";0;250;R$18,00
1;BEBIDAS;1;1;0;0;1403;"H2O LIMONETO";0;250;R$12,00
1;BEBIDAS;1;1;0;0;706;"COCA COLA KS";0;250;R$10,00
1;BEBIDAS;1;1;0;0;1294;"COCA COLA KS ZERO";0;250;R$10,00
1;BEBIDAS;1;1;0;0;1452;"REFIL - COLECIONAVEIS";0;0;R$23,00
1;BEBIDAS;1;1;0;0;1333;"REFRIGERANTES LATA";0;250;R$0,00
1;BEBIDAS;1;1;0;0;700;"AGUA SEM GAS 500ML";0;250;R$6,00
1;BEBIDAS;1;1;0;0;701;"AGUA COM GAS 500ML";0;250;R$7,00
1;BEBIDAS;1;1;0;0;702;"ENERGETICO MONSTER";0;250;R$25,00
1;BEBIDAS;1;1;0;0;662;"ENERGETICO MONSTER ZERO";0;250;R$25,00
1;BEBIDAS;1;1;0;0;1441;"REFIL DE REFRIGERANTE";0;0;R$18,00
1;BEBIDAS;1;0;0;0;554;"MENU KIDS - SUCO DE LARANJA";0;0;R$0,00
1;BEBIDAS;1;0;0;0;631;"SUCO DE LIMAO 300 ML COLABORADOR";0;250;R$0,00
1;"HAPPY HOUR";1;0;0;0;8627;"HAP TROPICAL SUNSET";0;0;R$16,50
1;"HAPPY HOUR";1;0;0;0;799;"HAP CAIPIROSCA DE AMORA";0;250;R$13,50
1;"HAPPY HOUR";1;0;0;0;1496;"HAP DOSE CHIVAS";0;250;R$10,00
1;"HAPPY HOUR";1;0;0;0;619;"HAP CAIPIRINHA DE AMORA";0;250;R$12,50
1;"HAPPY HOUR";1;0;0;0;108;"HAP DOSE VODKA";0;0;R$8,00
1;"HAPPY HOUR";1;0;0;0;276;"HAP DOSE GIN";0;0;R$9,00
1;"HAPPY HOUR";1;0;0;0;117;"HAP DOSE CACHACA";0;0;R$7,00
1;"HAPPY HOUR";1;0;0;0;818;"HAP CAIPIRINHA DE ABACAXI";0;250;R$12,50
1;"HAPPY HOUR";1;0;0;0;1391;"HAP CAIPIRINHA DE LIMAO";0;250;R$12,50
1;"HAPPY HOUR";1;0;0;0;595;"HAP CAIPIRINHA DE MARACUJA";0;250;R$12,50
1;"HAPPY HOUR";1;0;0;0;1390;"HAP CAIPIRINHA DE MORANGO";0;250;R$12,50
1;"HAPPY HOUR";1;0;0;0;606;"HAP CAIPIROSCA DE ABACAXI";0;250;R$13,50
1;"HAPPY HOUR";1;0;0;0;1386;"HAP CAIPIROSCA DE LIMAO";0;250;R$13,50
