"id";"produto_principal";"produto_composicao";"quantidade";"valor_unitario";"valor_custo";"valor_produto";"data"
"13385";"MIX ZERO";"HORTELÃ";"0.005";"50";"0.25";"35";"2025-10-13 17:22:53"
"13426";"MIX ZERO";"CREME DE NINHO ZERO";"0.05";"39.39";"1.97";"35";"2025-10-13 17:22:53"
"13427";"MIX ZERO";"MORANGO FRESCO";"0.06";"25";"1.5";"35";"2025-10-13 17:22:53"
"13428";"MIX ZERO";"CREME DE AVELA ZERO";"0.05";"124.74";"6.24";"35";"2025-10-13 17:22:53"
"6252";"AD RECHEIO FILE 120G -";"SALSA DESIDRATADA";"0.005";"21.9";"0.11";"25";"2025-10-13 17:09:23"
"6253";"AD RECHEIO FILE 120G -";"CEBOLA ROXA";"0.09";"4.64";"0.42";"25";"2025-10-13 17:09:23"
"6254";"AD RECHEIO FILE 120G -";"MOLHO MAIONESE";"0.05";"22.22";"1.11";"25";"2025-10-13 17:09:23"
"6843";"AD RECHEIO FILE 120G -";"FILE  CUBOS 90G";"1";"10.62";"10.62";"25";"2025-10-13 17:09:23"
"11353";"AD RECHEIO FILE 120G -";"QUEIJO CHEDDAR CREMOSO";"0.1";"27.25";"2.72";"25";"2025-10-13 17:09:23"
"12946";"GIN TONICA CRANBERRY DF";"XAROPE DE CRANBERRY";"0.03";"64.5";"1.93";NULL;"2025-10-13 17:00:34"
"12947";"GIN TONICA CRANBERRY DF";"MORANGO FRESCO";"0.06";"25";"1.5";NULL;"2025-10-13 17:00:34"
"12948";"GIN TONICA CRANBERRY DF";"GIN";"0.06";"106.533";"6.39";NULL;"2025-10-13 17:00:34"
"12949";"GIN TONICA CRANBERRY DF";"ALECRIM FRESCO";"0.005";"60";"0.3";NULL;"2025-10-13 17:00:34"
"12950";"GIN TONICA CRANBERRY DF";"SCHWEPPES TONICA LATA 310ML";"0.5";NULL;NULL;NULL;"2025-10-13 17:00:34"
"934";"TRIPLO";"ALFACE AMERICANA";"0.015";"16.5";"0.25";"82";"2025-10-13 16:51:20"
"935";"TRIPLO";"TOMATE LONGA VIDA";"0.03";"5.53";"0.17";"82";"2025-10-13 16:51:20"
"936";"TRIPLO";"MOLHO MAIONESE";"0.03";"22.22";"0.67";"82";"2025-10-13 16:51:20"
"937";"TRIPLO";"ONION RINGS";"0.03";"21.46";"0.64";"82";"2025-10-13 16:51:20"
"938";"TRIPLO";"QUEIJO CHEDDAR FATIA";"0.12";"33.3";"4";"82";"2025-10-13 16:51:20"
"1661";"TRIPLO";"HAMBURGUER ANGUS 170G";"3";"8.3";"24.9";"82";"2025-10-13 16:51:20"
"5534";"TRIPLO";"BACON FATIADO - BC";"0.07";"41";"2.87";"82";"2025-10-13 16:51:20"
"7364";"TRIPLO";"PÃO BRIOCHE GERGELIM";"1";"1.4";"1.4";"82";"2025-10-13 16:51:20"
"12062";"FRITAS COM  FILE";"CEBOLA ROXA";"0.09";"4.64";"0.42";"80";"2025-10-13 16:47:43"
"12063";"FRITAS COM  FILE";"SALSA FRESCA";"0.005";"48";"0.24";"80";"2025-10-13 16:47:43"
"12064";"FRITAS COM  FILE";"MOLHO MAIONESE";"0.045";"22.22";"1";"80";"2025-10-13 16:47:43"
"12065";"FRITAS COM  FILE";"FRITAS 9X18MM";"0.5";"15.06";"7.53";"80";"2025-10-13 16:47:43"
"12066";"FRITAS COM  FILE";"QUEIJO CHEDDAR CREMOSO";"0.1";"27.25";"2.72";"80";"2025-10-13 16:47:43"
"12067";"FRITAS COM  FILE";"LEITE INTEGRAL";"0.028";"5.57";"0.16";"80";"2025-10-13 16:47:43"
"12068";"FRITAS COM  FILE";"QUEIJO MUÇARELA FATIADA";"0.06";"47.76";"2.87";"80";"2025-10-13 16:47:43"
"12069";"FRITAS COM  FILE";"MANTEIGA COM SAL";"0.01";"42.68";"0.43";"80";"2025-10-13 16:47:43"
"12070";"FRITAS COM  FILE";"SAL COM ERVAS";"0.002";"7.46";"0.01";"80";"2025-10-13 16:47:43"
"12071";"FRITAS COM  FILE";"FILE  CUBOS 120G";"1";"11.14";"11.14";"80";"2025-10-13 16:47:43"
"13136";"LASANHA BOLONHESA";"SAL COM ERVAS";"0.00042";"7.46";"0";"39";"2025-10-13 16:17:10"
"13137";"LASANHA BOLONHESA";"LEITE INTEGRAL";"0.02083";"5.57";"0.12";"39";"2025-10-13 16:17:10"
"13138";"LASANHA BOLONHESA";"CREME DE LEITE 17";"0.02083";"13.07";"0.27";"39";"2025-10-13 16:17:10"
