"CATEGORIA";"UNIDADE";"PRODUTO DE VENDA";"VENDA DE FRENTE DE LOJA";"VENDA DELIVERY";"CANCELAMENTOS C/DESPERDICIO";"SAIDA TOTAL";"CUSTO";"CUSTO TOTAL";"RECEITA FRENTE DE LOJA";"RECEITA DELIVERY";"VALOR CANCELAMENTOS";"VALOR TOTAL S/CANCELAMENTOS";"CANCELAMENTOS S/DESPERDICIO";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD DE BATATA FRITA";"117";"0";"11";"128";"2,66";"340,48";"1070";"0";"105";"1.069,99";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CEBOLA ROXA";"12";"1";"0";"13";"0,19";"2,47";"36";"3";"0";"39,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD SUMO DE LIMAO";"52";"0";"0";"52";"0,29";"15,08";"104";"0";"0";"104,00";"2";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD FRANGO EM CUBOS 200G";"6";"9";"2";"17";"5,09";"86,53";"120";"195";"50";"315,00";"46";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD NUTELLA";"3";"0";"3";"6";"1,07";"6,42";"15";"0";"15";"15,00";"2";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CHEDDAR CREMOSO";"12";"17";"0";"29";"1,64";"47,56";"86";"153";"0";"239,00";"2";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD BRIGADEIRO DE CHOCOLATE";"3";"0";"1";"4";"2,41";"9,64";"30";"0";"10";"30,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD OVO";"73";"105";"11";"189";"0,55";"103,95";"222";"523";"32";"745,00";"45";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD BOLONHESA";"2";"2";"1";"5";"3,73";"18,65";"36";"42";"18";"78,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD BACON FATIA";"83";"124";"2";"209";"2,87";"599,83";"586";"868";"14";"1.454,00";"5";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD BACON CUBOS";"20";"12";"1";"33";"2,75";"90,75";"125";"114";"7";"239,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD HAMB SMASH  80G";"2";"0";"0";"2";"1,38";"2,76";"27";"0";"0";"27,00";"7";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD HAMB FRANGO 150G";"4";"0";"4";"8";"2,98";"23,84";"40";"0";"40";"40,00";"3";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD HAMB ANGUS 120G";"6";"0";"8";"14";"0,00";"0,00";"72";"0";"96";"72,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD PURE DE BATATA";"5";"0";"1";"6";"3,54";"21,24";"40";"0";"12";"40,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CAESAR SALAD";"4";"0";"2";"6";"3,97";"23,82";"66";"0";"36";"66,00";"47";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD ALFACE E TOMATE";"56";"1";"0";"57";"0,67";"38,19";"168";"3";"0";"171,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD PARMEGIANA FRANGO";"2";"0";"1";"3";"10,22";"30,66";"40";"0";"20";"40,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CHEDDAR CREMOSO PICANTE";"2";"0";"0";"2";"2,13";"4,26";"16";"0";"0";"16,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD PICLES";"49";"54";"8";"111";"0,44";"48,84";"98";"353";"16";"451,00";"28";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CEBOLA CARAMELIZADA COM COCA E WHISKY";"1";"0";"0";"1";"0,65";"0,65";"4";"0";"0";"4,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD HAMB ANGUS 170G";"5";"0";"3";"8";"8,30";"66,40";"130";"0";"78";"130,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CREME DE GORGONZOLA";"4";"2";"1";"7";"2,58";"18,06";"16";"8";"9";"24,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD ONION RINGS";"18";"68";"0";"86";"1,07";"92,02";"144";"476";"0";"620,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD  ARROZ BRANCO";"3";"0";"1";"4";"1,61";"6,44";"17";"0";"5";"17,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD FILE DE FRANGO COM CHIMICHURRI";"1";"0";"3";"4";"5,89";"23,56";"15";"0";"45";"15,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD FILE BOVINO CUBOS 120G";"3";"7";"1";"11";"11,14";"122,54";"57";"196";"25";"253,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD TOMATE";"10";"28";"3";"41";"0,22";"9,02";"20";"82";"6";"102,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD ALFACE";"14";"2";"0";"16";"0,25";"4,00";"27";"4";"0";"31,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD RECHEIO PULLED PORK - 90G";"4";"1";"0";"5";"7,32";"36,60";"57";"19";"0";"76,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD QUEIJO PARMESAO";"3";"4";"1";"8";"2,80";"22,40";"23";"36";"10";"59,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD SORVETE";"1";"0";"0";"1";"0,34";"0,34";"4";"0";"0";"4,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"PARMEGIANA DE FRANGO - MSP";"0";"0";"2";"2";"7,59";"15,18";"0";"0";"88";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD HAMB  RECH 170G";"1";"0";"1";"2";"8,12";"16,24";"26";"0";"26";"26,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CEBOLA CARAMELIZADA";"1";"0";"0";"1";"0,83";"0,83";"3";"0";"0";"3,00";"0";
