PRODUTO;PRODUTO COMPOSICAO;QUANTIDADE;UNIDADE DE MEDIDA;VALOR UNITARIO;CUSTO;CUSTO TOTAL;PRECO DE VENDA;MARGEM DE LUCRO;CMV
"AD  ARROZ  COM BROCOLIS  E BACON";"SAL COM ERVAS";"0,00250";"kg";"7,46";"0,02";"2,61";"10,00";"283,65%";"26,07%";
"AD  ARROZ  COM BROCOLIS  E BACON";"ALHO";"0,00250";"kg";"22,00";"0,06";"2,61";"10,00";"283,65%";"26,07%";
"AD  ARROZ  COM BROCOLIS  E BACON";"ARROZ";"0,10000";"kg";"5,05";"0,51";"2,61";"10,00";"283,65%";"26,07%";
"AD  ARROZ  COM BROCOLIS  E BACON";"AZEITE COMPOSTO";"0,00500";"lt";"20,16";"0,10";"2,61";"10,00";"283,65%";"26,07%";
"AD  ARROZ  COM BROCOLIS  E BACON";"BROCOLIS";"0,03000";"kg";"0,00";"0,00";"2,61";"10,00";"283,65%";"26,07%";
"AD  ARROZ  COM BROCOLIS  E BACON";"BACON EM CUBOS";"0,07000";"kg";"27,53";"1,93";"2,61";"10,00";"283,65%";"26,07%";
"AD  ARROZ BRANCO";"SAL COM ERVAS";"0,00300";"kg";"7,46";"0,02";"1,60";"7,00";"337,12%";"22,88%";
"AD  ARROZ BRANCO";"ALHO";"0,00300";"kg";"22,00";"0,07";"1,60";"7,00";"337,12%";"22,88%";
"AD  ARROZ BRANCO";"ARROZ";"0,10000";"kg";"5,05";"0,51";"1,60";"7,00";"337,12%";"22,88%";
"AD  ARROZ BRANCO";"AZEITE COMPOSTO";"0,05000";"lt";"20,16";"1,01";"1,60";"7,00";"337,12%";"22,88%";
"AD ALFACE";"ALFACE AMERICANA";"0,01500";"kg";"16,50";"0,25";"0,25";"1,00";"304,04%";"24,75%";
"AD ALFACE E TOMATE";"ALFACE AMERICANA";"0,03000";"kg";"16,50";"0,50";"0,66";"3,00";"353,93%";"22,03%";
"AD ALFACE E TOMATE";"TOMATE LONGA VIDA";"0,03000";"kg";"5,53";"0,17";"0,66";"3,00";"353,93%";"22,03%";
"AD BACON CUBOS";"BACON EM CUBOS";"0,10000";"kg";"27,53";"2,75";"2,75";"7,00";"154,27%";"39,33%";
"AD BACON FATIA";"BACON FATIADO - BC";"0,07000";"kg";"41,00";"2,87";"2,87";"8,00";"178,75%";"35,88%";
"AD BLEND DE QUEIJOS EMPANADO 120G";"BLEND DE QUEIJOS REDONDO 120G";"1,00000";"und";"6,38";"6,38";"6,73";"12,00";"78,39%";"56,06%";
"AD BLEND DE QUEIJOS EMPANADO 120G";"FARINHA DE ROSCA";"0,01500";"kg";"7,48";"0,11";"6,73";"12,00";"78,39%";"56,06%";
"AD BLEND DE QUEIJOS EMPANADO 120G";"FARINHA PANKO";"0,01500";"kg";"15,65";"0,23";"6,73";"12,00";"78,39%";"56,06%";
"AD BOLONHESA";"CARNE P/ BOLONHESA";"0,10000";"kg";"35,21";"3,52";"3,74";"18,00";"381,55%";"20,77%";
"AD BOLONHESA";"CEBOLA BRANCA";"0,01000";"kg";"2,27";"0,02";"3,74";"18,00";"381,55%";"20,77%";
"AD BOLONHESA";"ALHO";"0,00100";"kg";"22,00";"0,02";"3,74";"18,00";"381,55%";"20,77%";
"AD BOLONHESA";"MOLHO DE TOMATE";"0,01000";"kg";"3,11";"0,03";"3,74";"18,00";"381,55%";"20,77%";
"AD BOLONHESA";"TOMATE TRITURADO";"0,01500";"kg";"9,41";"0,14";"3,74";"18,00";"381,55%";"20,77%";
"AD BRIGADEIRO DE CHOCOLATE";"BRIGADEIRO DE CHOCOLATE";"0,05000";"kg";"48,22";"2,41";"2,41";"10,00";"314,77%";"24,11%";
"AD BRIGADEIRO DE LEITE NINHO";"BRIGADEIRO DE LEITE NINHO";"0,05000";"kg";"31,51";"1,58";"1,58";"8,00";"407,78%";"19,69%";
"AD CEBOLA  COM AZEITE";"CEBOLA BRANCA";"0,02500";"kg";"2,27";"0,06";"0,17";"2,00";"1112,05%";"8,25%";
"AD CEBOLA  COM AZEITE";"AZEITE COMPOSTO";"0,00500";"lt";"20,16";"0,10";"0,17";"2,00";"1112,05%";"8,25%";
"AD CEBOLA  COM AZEITE";"SAL COM ERVAS";"0,00100";"kg";"7,46";"0,01";"0,17";"2,00";"1112,05%";"8,25%";
"AD CEBOLA CARAMELIZADA";"CEBOLA BRANCA";"0,03000";"kg";"2,27";"0,07";"0,83";"3,00";"262,00%";"27,62%";
"AD CEBOLA CARAMELIZADA";"ACUCAR MASCAVO";"0,00600";"kg";"10,17";"0,06";"0,83";"3,00";"262,00%";"27,62%";
"AD CEBOLA CARAMELIZADA";"MEL";"0,02000";"kg";"34,98";"0,70";"0,83";"3,00";"262,00%";"27,62%";
"AD CEBOLA CARAMELIZADA COM COCA E WHISKY";"CEBOLA BRANCA";"0,02000";"kg";"2,27";"0,05";"0,65";"4,00";"515,77%";"16,24%";
"AD CEBOLA CARAMELIZADA COM COCA E WHISKY";"ACUCAR MASCAVO";"0,00200";"kg";"10,17";"0,02";"0,65";"4,00";"515,77%";"16,24%";
"AD CEBOLA CARAMELIZADA COM COCA E WHISKY";"WHISKY P/ PREPARAÇÃO DE PRATOS";"0,00100";"lt";"39,00";"0,04";"0,65";"4,00";"515,77%";"16,24%";
"AD CEBOLA CARAMELIZADA COM COCA E WHISKY";"MOLHO SHOYO";"0,00300";"lt";"8,15";"0,02";"0,65";"4,00";"515,77%";"16,24%";
"AD CEBOLA CARAMELIZADA COM COCA E WHISKY";"XAROPE COCA COLA";"0,02000";"lt";"26,02";"0,52";"0,65";"4,00";"515,77%";"16,24%";
"AD CEBOLA ROXA";"CEBOLA ROXA";"0,04000";"kg";"4,64";"0,19";"0,19";"3,00";"1516,38%";"6,19%";
"AD CHEDDAR CREMOSO";"QUEIJO CHEDDAR CREMOSO";"0,05000";"kg";"27,25";"1,36";"1,64";"8,00";"387,51%";"20,51%";
"AD CHEDDAR CREMOSO";"LEITE INTEGRAL";"0,05000";"lt";"5,57";"0,28";"1,64";"8,00";"387,51%";"20,51%";
"AD CHEDDAR CREMOSO PICANTE";"LEITE INTEGRAL";"0,03400";"lt";"5,57";"0,19";"2,13";"8,00";"275,08%";"26,66%";
"AD CHEDDAR CREMOSO PICANTE";"QUEIJO CHEDDAR CREMOSO";"0,06400";"kg";"27,25";"1,74";"2,13";"8,00";"275,08%";"26,66%";
"AD CHEDDAR CREMOSO PICANTE";"PIMENTA CALABRESA";"0,00100";"kg";"45,00";"0,05";"2,13";"8,00";"275,08%";"26,66%";
"AD CHEDDAR CREMOSO PICANTE";"PIMENTA MENDEZ - 490 GR";"0,00500";"kg";"30,90";"0,15";"2,13";"8,00";"275,08%";"26,66%";
"AD CHEDDAR FATIA";"QUEIJO CHEDDAR FATIA";"0,04000";"kg";"33,30";"1,33";"1,33";"8,00";"500,60%";"16,65%";
"AD COBERTURA FRUTAS VERMELHAS";"CALDA DE FRUTAS VERMELHAS";"0,05000";"kg";"28,38";"1,42";"2,39";"0,00";"0%";"0%";
"AD COBERTURA FRUTAS VERMELHAS";"HORTELÃ";"0,00200";"kg";"50,00";"0,10";"2,39";"0,00";"0%";"0%";
"AD COBERTURA FRUTAS VERMELHAS";"CEREJA COM TALO";"0,00500";"kg";"74,04";"0,37";"2,39";"0,00";"0%";"0%";
"AD COBERTURA FRUTAS VERMELHAS";"MORANGO FRESCO";"0,02000";"kg";"25,00";"0,50";"2,39";"0,00";"0%";"0%";
"AD COBERTURA FRUTAS VERMELHAS";"CALDA DE FRUTAS VERMELHAS";"0,05000";"kg";"28,38";"1,42";"2,39";"10,00";"318,55%";"23,89%";
"AD COBERTURA FRUTAS VERMELHAS";"HORTELÃ";"0,00200";"kg";"50,00";"0,10";"2,39";"10,00";"318,55%";"23,89%";
